step,temp,weight,cost,best_weight,sat_clauses,sat_clauses_best
1,287626,1829,-3257,2001,60,60
2,287626,1537,-3549,2001,60,60
3,287626,2014,-3072,2001,64,60
4,287626,1951,-3135,2014,65,64
5,287626,1724,-3362,2014,67,64
6,287626,1450,-3636,2014,65,64
7,287626,1432,-3654,2014,67,64
8,287626,955,-4131,2014,63,64
9,287626,1324,-3762,2014,63,64
10,287626,1598,-3488,2014,63,64
11,287626,1661,-3425,2014,61,64
12,287626,1292,-3794,2014,61,64
13,287626,1584,-3502,2014,61,64
14,287626,2057,-3029,2014,62,64
15,287626,2505,-2581,2057,62,62
16,287626,2754,-2332,2505,64,62
17,287626,2772,-2314,2754,65,64
18,287626,2324,-2762,2772,64,65
19,287626,2116,-2970,2772,67,65
20,287626,2134,-2952,2772,68,65
21,287626,2582,-2504,2772,67,65
22,287626,2779,-2307,2772,66,65
23,287626,2963,-2123,2779,66,66
24,287626,2490,-2596,2963,65,66
25,287626,2472,-2614,2963,64,66
26,287626,2490,-2596,2963,65,66
27,287626,2472,-2614,2963,62,66
28,287626,2223,-2863,2963,60,66
29,287626,2472,-2614,2963,62,66
30,287626,2288,-2798,2963,62,66
31,287626,2225,-2861,2963,63,66
32,287626,2702,-2384,2963,67,66
33,287626,2929,-2157,2963,66,66
34,287626,2655,-2431,2963,65,66
35,287626,2718,-2368,2963,65,66
36,287626,2975,-2111,2963,64,66
37,287626,3202,-1884,2975,66,64
38,287626,3386,-1700,3202,65,66
39,287626,3129,-1957,3386,65,65
40,287626,2837,-2249,3386,63,65
41,287626,2855,-2231,3386,64,65
42,287626,2378,-2708,3386,65,65
43,287626,2855,-2231,3386,64,65
44,287626,3147,-1939,3386,66,65
45,287626,2877,-2209,3386,62,65
46,287626,3049,-2037,3386,61,65
47,287626,2572,-2514,3386,61,65
48,287626,2280,-2806,3386,58,65
49,287626,2488,-2598,3386,56,65
50,287626,2040,-3046,3386,52,65
51,287626,2409,-2677,3386,55,65
52,287626,2225,-2861,3386,57,65
53,287626,2411,-2675,3386,57,65
54,287626,2668,-2418,3386,56,65
55,287626,3116,-1970,3386,61,65
56,287626,3300,-1786,3386,59,65
57,287626,3073,-2013,3386,56,65
58,287626,2889,-2197,3386,58,65
59,287626,2520,-2566,3386,56,65
60,287626,2993,-2093,3386,60,65
61,287626,2930,-2156,3386,61,65
62,287626,2457,-2629,3386,57,65
63,287626,2439,-2647,3386,59,65
64,287626,2731,-2355,3386,60,65
65,287626,2523,-2563,3386,61,65
66,287626,2541,-2545,3386,59,65
67,287626,2284,-2802,3386,58,65
68,287626,2468,-2618,3386,58,65
69,287626,2296,-2790,3386,62,65
70,287626,2069,-3017,3386,64,65
71,287626,1872,-3214,3386,63,65
72,287626,2069,-3017,3386,64,65
73,287626,1883,-3203,3386,65,65
74,287626,1686,-3400,3386,64,65
75,287626,1668,-3418,3386,65,65
76,287626,2145,-2941,3386,63,65
77,287626,2402,-2684,3386,62,65
78,287626,2672,-2414,3386,63,65
79,287626,2899,-2187,3386,62,65
80,287626,3126,-1960,3386,64,65
81,287626,2942,-2144,3386,65,65
82,287626,3150,-1936,3386,65,65
83,287626,3322,-1764,3386,65,65
84,287626,3073,-2013,3386,65,65
85,287626,3270,-1816,3386,66,65
86,287626,3013,-2073,3386,65,65
87,287626,2995,-2091,3386,67,65
88,287626,3181,-1905,3386,65,65
89,287626,2733,-2353,3386,62,65
90,287626,2256,-2830,3386,59,65
91,287626,2513,-2573,3386,56,65
92,287626,2531,-2555,3386,55,65
93,287626,2513,-2573,3386,56,65
94,287626,2036,-3050,3386,56,65
95,287626,1779,-3307,3386,59,65
96,287626,1797,-3289,3386,55,65
97,287626,1779,-3307,3386,59,65
98,287626,1797,-3289,3386,55,65
99,287626,1860,-3226,3386,59,65
100,281873,2337,-2749,3386,61,65
101,281873,2611,-2475,3386,62,65
102,281873,2860,-2226,3386,60,65
103,281873,2383,-2703,3386,57,65
104,281873,2567,-2519,3386,57,65
105,281873,2359,-2727,3386,58,65
106,281873,2836,-2250,3386,61,65
107,281873,2650,-2436,3386,59,65
108,281873,3019,-2067,3386,59,65
109,281873,3037,-2049,3386,62,65
110,281873,2668,-2418,3386,61,65
111,281873,2876,-2210,3386,60,65
112,281873,3324,-1762,3386,64,65
113,281873,2847,-2239,3386,63,65
114,281873,3324,-1762,3386,65,65
115,281873,3097,-1989,3386,63,65
116,281873,3283,-1803,3386,62,65
117,281873,3009,-2077,3386,59,65
118,281873,3378,-1708,3386,61,65
119,281873,3192,-1894,3386,62,65
120,281873,2995,-2091,3386,61,65
121,281873,2977,-2109,3386,58,65
122,281873,2608,-2478,3386,57,65
123,281873,2805,-2281,3386,58,65
124,281873,2357,-2729,3386,57,65
125,281873,2160,-2926,3386,57,65
126,281873,2357,-2729,3386,57,65
127,281873,2339,-2747,3386,62,65
128,281873,2131,-2955,3386,62,65
129,281873,2358,-2728,3386,60,65
130,281873,2131,-2955,3386,60,65
131,281873,2149,-2937,3386,58,65
132,281873,2167,-2919,3386,60,65
133,281873,1897,-3189,3386,59,65
134,281873,2374,-2712,3386,59,65
135,281873,2356,-2730,3386,60,65
136,281873,2630,-2456,3386,62,65
137,281873,2887,-2199,3386,60,65
138,281873,2905,-2181,3386,61,65
139,281873,3378,-1708,3386,65,65
140,281873,3151,-1935,3386,66,65
141,281873,3133,-1953,3386,66,65
142,281873,2949,-2137,3386,66,65
143,281873,2886,-2200,3386,65,65
144,281873,2637,-2449,3386,66,65
145,281873,2655,-2431,3386,66,65
146,281873,2839,-2247,3386,66,65
147,281873,2362,-2724,3386,64,65
148,281873,2165,-2921,3386,66,65
149,281873,1688,-3398,3386,66,65
150,281873,1915,-3171,3386,65,65
151,281873,1743,-3343,3386,67,65
152,281873,1951,-3135,3386,64,65
153,281873,2137,-2949,3386,62,65
154,281873,1863,-3223,3386,61,65
155,281873,2232,-2854,3386,59,65
156,281873,2295,-2791,3386,58,65
157,281873,2038,-3048,3386,61,65
158,281873,1746,-3340,3386,61,65
159,281873,2038,-3048,3386,61,65
160,281873,2515,-2571,3386,62,65
161,281873,2742,-2344,3386,61,65
162,281873,3219,-1867,3386,62,65
163,281873,3391,-1695,3386,61,65
164,281873,3099,-1987,3391,60,61
165,281873,2622,-2464,3391,61,61
166,281873,2559,-2527,3391,61,61
167,281873,2851,-2235,3391,62,61
168,281873,2624,-2462,3391,64,61
169,281873,2397,-2689,3391,63,61
170,281873,2874,-2212,3391,65,61
171,281873,3144,-1942,3391,65,61
172,281873,2960,-2126,3391,64,61
173,281873,3187,-1899,3391,64,61
174,281873,2917,-2169,3391,64,61
175,281873,2709,-2377,3391,65,61
176,281873,2906,-2180,3391,64,61
177,281873,3176,-1910,3391,64,61
178,281873,3158,-1928,3391,63,61
179,281873,2789,-2297,3391,60,61
180,281873,2997,-2089,3391,59,61
181,281873,2825,-2261,3391,63,61
182,281873,2807,-2279,3391,67,61
