Sakoe Chiba value,Mean average error
1,54.524
2,31.315
3,20.147
4,14.4
5,11.28
6,9.241
7,7.903
8,6.986
9,6.248
10,5.648
11,5.103
12,4.582
13,4.253
14,3.995
15,3.715
16,3.448
17,3.278
18,3.152
19,3.046
20,2.897
21,2.763
23,2.526
25,2.352
27,2.2
29,2.064
31,1.922
33,1.814
35,1.68
37,1.487
39,1.368
41,1.308
43,1.193
45,1.131
47,1.078
49,1.005
51,0.943
53,0.924
55,0.894
57,0.878
59,0.869
61,0.851
63,0.834
65,0.809
67,0.789
69,0.784
71,0.777
73,0.697
75,0.662
77,0.653
79,0.623
81,0.598
83,0.584
85,0.572
87,0.566
89,0.559
91,0.501
93,0.464
95,0.46
97,0.451
99,0.451
101,0.451
104,0.448
107,0.43
110,0.425
113,0.425
116,0.423
119,0.361
122,0.359
125,0.347
128,0.347
131,0.347
134,0.34
137,0.34
140,0.34
143,0.34
146,0.34
149,0.338
152,0.338
155,0.338
158,0.308
161,0.306
164,0.297
167,0.297
170,0.297
173,0.297
176,0.297
179,0.297
182,0.292
185,0.283
188,0.28
191,0.28
194,0.28
197,0.28
200,0.28
204,0.28
208,0.28
212,0.28
216,0.248
220,0.248
224,0.248
228,0.248
232,0.248
236,0.248
240,0.246
244,0.246
248,0.246
252,0.246
256,0.246
260,0.241
264,0.239
268,0.239
272,0.221
276,0.218
280,0.218
284,0.195
288,0.195
292,0.195
296,0.195
300,0.195
304,0.195
308,0.191
312,0.191
316,0.191
320,0.191
324,0.191
328,0.191
332,0.191
336,0.189
340,0.189
344,0.189
348,0.152
352,0.147
356,0.147
360,0.101
364,0.101
368,0.101
372,0.101
376,0.039
380,0.0
384,0.0
