Sakoe Chiba value,Avg % error
1,1.571
2,1.436
3,1.375
4,1.214
5,1.085
6,1.026
7,0.986
8,0.945
9,0.923
10,0.87
11,0.841
12,0.822
13,0.802
14,0.783
15,0.762
16,0.748
17,0.725
18,0.723
19,0.707
20,0.695
21,0.684
23,0.654
25,0.633
27,0.618
29,0.606
31,0.568
33,0.562
35,0.55
37,0.53
39,0.516
41,0.494
43,0.472
45,0.461
47,0.429
49,0.417
51,0.391
53,0.386
55,0.377
57,0.375
59,0.373
61,0.372
63,0.369
65,0.358
67,0.343
69,0.339
71,0.332
73,0.325
75,0.325
77,0.321
79,0.314
81,0.314
83,0.308
85,0.302
87,0.295
89,0.29
91,0.283
93,0.277
95,0.271
97,0.264
99,0.262
101,0.262
104,0.258
107,0.252
110,0.249
113,0.244
116,0.236
119,0.231
122,0.227
125,0.22
128,0.216
131,0.213
134,0.211
137,0.204
140,0.2
143,0.193
146,0.189
149,0.187
152,0.187
155,0.185
158,0.181
161,0.178
164,0.175
167,0.172
170,0.169
173,0.169
176,0.168
179,0.168
182,0.167
185,0.165
188,0.16
191,0.16
194,0.156
197,0.152
200,0.149
204,0.145
208,0.143
212,0.142
216,0.141
220,0.14
224,0.138
228,0.138
232,0.135
236,0.134
240,0.13
244,0.125
248,0.123
252,0.121
256,0.114
260,0.105
264,0.101
268,0.099
272,0.098
276,0.098
280,0.098
284,0.097
288,0.094
292,0.093
296,0.093
300,0.09
304,0.089
308,0.086
312,0.086
316,0.086
320,0.084
324,0.082
328,0.077
332,0.077
336,0.074
340,0.07
344,0.069
348,0.067
352,0.065
356,0.064
360,0.064
364,0.061
368,0.061
372,0.061
376,0.059
380,0.056
384,0.055
388,0.054
392,0.053
396,0.053
400,0.051
404,0.048
408,0.048
412,0.045
416,0.045
420,0.043
424,0.038
428,0.037
432,0.037
436,0.037
440,0.037
444,0.037
448,0.036
452,0.034
456,0.034
460,0.033
464,0.032
468,0.031
472,0.031
476,0.031
480,0.031
484,0.03
488,0.03
492,0.028
496,0.028
500,0.028
505,0.028
510,0.028
515,0.027
520,0.025
525,0.025
530,0.023
535,0.023
540,0.023
545,0.02
550,0.019
555,0.019
560,0.019
565,0.019
570,0.019
575,0.018
580,0.017
585,0.017
590,0.016
595,0.016
600,0.016
605,0.015
610,0.015
615,0.015
620,0.015
625,0.015
630,0.015
635,0.015
640,0.015
645,0.015
650,0.015
655,0.014
660,0.014
665,0.012
670,0.012
675,0.012
680,0.011
685,0.009
690,0.009
695,0.009
700,0.009
705,0.009
710,0.009
715,0.008
720,0.008
725,0.008
730,0.008
735,0.008
740,0.008
745,0.008
750,0.007
755,0.007
760,0.007
765,0.006
770,0.006
775,0.006
780,0.006
785,0.006
790,0.006
795,0.006
800,0.006
805,0.006
810,0.006
815,0.006
820,0.006
825,0.006
830,0.006
835,0.006
840,0.006
845,0.006
850,0.006
855,0.006
860,0.006
865,0.006
870,0.006
875,0.006
880,0.005
885,0.005
890,0.005
895,0.005
900,0.005
905,0.004
910,0.004
915,0.004
920,0.004
925,0.004
930,0.004
935,0.004
940,0.004
945,0.004
950,0.004
955,0.004
960,0.004
965,0.004
970,0.003
975,0.003
980,0.003
985,0.003
990,0.003
995,0.003
1000,0.003
1005,0.003
1010,0.003
1015,0.003
1020,0.003
1025,0.003
1030,0.003
1035,0.003
1040,0.003
1045,0.003
1050,0.003
1055,0.003
1060,0.003
1065,0.003
1070,0.003
1075,0.003
1080,0.003
1085,0.003
1090,0.002
1095,0.002
1100,0.002
1105,0.002
1110,0.002
1115,0.002
1120,0.001
1125,0.001
1130,0.001
1135,0.001
1140,0.001
1145,0.001
1150,0.001
1155,0.001
1160,0.001
1165,0.001
1170,0.001
1175,0.001
1180,0.001
1185,0.001
1190,0.001
1195,0.001
1200,0.001
1205,0.001
1210,0.001
1215,0.001
1220,0.001
1225,0.001
1230,0.001
1235,0.001
1240,0.001
1245,0.001
1250,0.001
1255,0.0
1260,0.0
