Sakoe Chiba value,Max % error
1,154.717
2,100.0
3,69.811
4,62.264
5,30.189
6,26.415
7,26.415
8,18.667
9,18.667
10,16.0
11,16.0
12,15.152
13,15.152
14,15.152
15,15.152
16,15.152
17,15.152
18,15.152
19,15.152
20,15.152
21,15.152
23,15.152
25,15.152
27,15.152
29,15.152
31,11.236
33,11.236
35,11.236
37,11.236
39,11.236
41,11.236
43,11.236
45,11.236
47,11.236
49,10.778
51,10.778
53,10.778
55,10.778
57,10.778
59,10.778
61,10.778
63,10.778
65,10.778
67,8.779
69,8.779
71,8.779
73,8.779
75,8.779
77,8.015
79,7.252
81,7.252
83,6.107
85,6.107
87,4.878
89,4.878
91,4.878
93,4.878
95,4.878
97,4.878
99,4.878
101,4.878
104,4.878
107,4.878
110,4.878
113,4.878
116,4.878
119,4.878
122,4.878
125,4.878
128,4.878
131,4.878
134,4.878
137,4.878
140,4.878
143,4.878
146,4.878
149,4.878
152,4.878
155,3.415
158,3.257
161,3.257
164,3.257
167,3.257
170,3.257
173,3.257
176,3.257
179,3.257
182,3.257
185,3.257
188,3.257
191,3.257
194,3.257
197,3.257
200,3.257
204,3.257
208,3.257
212,3.257
216,3.257
220,3.257
224,3.257
228,3.257
232,3.257
236,3.257
240,3.257
244,3.257
248,3.257
252,3.257
256,2.28
260,2.0
264,2.0
268,2.0
272,2.0
276,2.0
280,2.0
284,2.0
288,2.0
292,2.0
296,2.0
300,2.0
304,2.0
308,2.0
312,2.0
316,2.0
320,2.0
324,2.0
328,1.577
332,1.577
336,1.577
340,1.468
344,1.468
348,1.468
352,1.468
356,1.468
360,1.468
364,1.468
368,1.468
372,1.468
376,1.468
380,1.468
384,1.468
388,1.468
392,1.468
396,1.468
400,1.121
404,0.899
408,0.899
412,0.899
416,0.899
420,0.899
424,0.899
428,0.899
432,0.899
436,0.899
440,0.899
444,0.899
448,0.899
452,0.813
456,0.813
460,0.813
464,0.813
468,0.813
472,0.813
476,0.813
480,0.813
484,0.813
488,0.813
492,0.813
496,0.813
500,0.813
505,0.813
510,0.813
515,0.813
520,0.813
525,0.813
530,0.813
535,0.813
540,0.813
545,0.632
550,0.632
555,0.632
560,0.632
565,0.632
570,0.632
575,0.632
580,0.632
585,0.632
590,0.632
595,0.632
600,0.632
605,0.632
610,0.632
615,0.632
620,0.632
625,0.632
630,0.632
635,0.632
640,0.632
645,0.632
650,0.632
655,0.632
660,0.632
665,0.632
670,0.632
675,0.632
680,0.632
685,0.546
690,0.546
695,0.546
700,0.546
705,0.546
710,0.546
715,0.546
720,0.546
725,0.546
730,0.546
735,0.546
740,0.546
745,0.546
750,0.546
755,0.546
760,0.546
765,0.546
770,0.546
775,0.342
780,0.342
785,0.3
790,0.3
795,0.3
800,0.3
805,0.3
810,0.3
815,0.3
820,0.3
825,0.3
830,0.3
835,0.3
840,0.3
845,0.3
850,0.3
855,0.3
860,0.282
865,0.282
870,0.282
875,0.282
880,0.0
885,0.0
